NAME                                                             CPU(cores)   MEMORY(bytes)   
emss-eaa-payelec-front-group-1-v24-784d7d76d4-9c4m5              248m         6772Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-9hpr2              245m         6788Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-9lvtv              242m         6781Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-9m2ws              195m         6808Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-9nz45              205m         6775Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-b9tkt              255m         6808Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-blssx              228m         6778Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-bmgb9              197m         6785Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-btr74              233m         6792Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-c5rnt              214m         6792Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-cd4br              268m         6792Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-cnt5h              218m         6705Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-d255k              206m         6696Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-f8wpz              244m         6780Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-fs785              198m         6780Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-ftwdz              231m         6792Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-h8dh7              235m         6802Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-hhzln              242m         6772Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-hkspc              274m         6803Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-hqdqn              178m         6778Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-k5zw4              238m         6778Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-klstv              273m         6786Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-lhrqj              204m         6786Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-ljjxz              253m         6781Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-lv7sb              244m         6784Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-lz772              220m         6800Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-m48jj              284m         6798Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-m6kdt              264m         6784Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-mq72x              200m         6798Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-nd85z              236m         6786Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-nn5l9              219m         6797Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-pcrwq              217m         6798Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-ptvhb              203m         6781Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-qwbz9              153m         6852Mi          
emss-eaa-payelec-front-group-1-v24-784d7d76d4-qxvvk              242m         6788Mi          
