NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-csc-histread-inner-data-group-1-v14-757d964d46-5zjjx         24m          2398Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-65lgc         11m          2437Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-9f4fw         16m          2417Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-f4zw8         27m          2422Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-ffmfd         16m          2442Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-gfhg4         11m          2405Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-jrgfn         11m          2415Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-k76fv         28m          2412Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-swkdh         22m          2401Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-t68nm         9m           2419Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-vcnn2         24m          2401Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-vss5k         26m          2414Mi          
emss-csc-histread-inner-data-group-1-v14-757d964d46-wf4mw         16m          2429Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-22pw2          9m           2334Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-25rvl          10m          2325Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-5m9d4          25m          2310Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-5rb7b          10m          2353Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-64btx          14m          2332Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-ckdp4          15m          2323Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-d4tzm          10m          2315Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-lswfv          16m          2329Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-mfqbf          12m          2338Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-nrtd9          25m          2312Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-shhzs          25m          2303Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-zg55n          23m          2320Mi          
emss-csc-opersup-inner-data-group-1-v13-78b4d5b47b-zr8rc          24m          2297Mi          
emss-csc-oracle-inner-data-group-1-v6-6c9ddf5bdf-7npxr            16m          2276Mi          
emss-csc-oracle-inner-data-group-1-v6-6c9ddf5bdf-fqf5g            13m          2285Mi          
emss-csc-oracle-inner-data-group-1-v6-6c9ddf5bdf-gd598            9m           2277Mi          
emss-csc-oracle-inner-data-group-1-v6-6c9ddf5bdf-m79dm            12m          2246Mi          
emss-csc-oracle-inner-data-group-1-v6-6c9ddf5bdf-mxdz6            11m          2267Mi          
emss-csc-oracle-inner-data-group-1-v6-6c9ddf5bdf-q2nbg            10m          2272Mi          
emss-csc-orpagg-subdomain-group-1-v6-69f565b77d-6r8gr             13m          2382Mi          
